method,query,product_id,score,rank,relevance_score
TF-IDF,#5 coil zipper without lock,B013XF8T2Y,0.473461,1,0
TF-IDF,#5 coil zipper without lock,B07RTZL34P,0.43676,2,0
TF-IDF,#5 coil zipper without lock,B0039PMRF4,0.421391,3,0
TF-IDF,#5 coil zipper without lock,B083WMX895,0.291487,4,0
TF-IDF,#5 coil zipper without lock,B08F3KSHX4,0.291056,5,0
TF-IDF,#5 coil zipper without lock,B010DEDG8A,0.284822,6,0
TF-IDF,#5 coil zipper without lock,B000B83710,0.282351,7,0
TF-IDF,#5 coil zipper without lock,B089GLDZ9S,0.245717,8,2
TF-IDF,#5 coil zipper without lock,B072P61SRT,0.242364,9,0
TF-IDF,#5 coil zipper without lock,B0866MZ7NF,0.240983,10,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B099WCB7CG,0.29282,1,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B081VV77MT,0.263392,2,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B074TWK3GP,0.260823,3,0
TF-IDF,$10 lol literally not gonna change baby pet lol,1951025199,0.251972,4,0
TF-IDF,$10 lol literally not gonna change baby pet lol,1982112395,0.220141,5,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B08FGJR7BQ,0.215542,6,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B07PQVRPSB,0.214362,7,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B07PMN4BZP,0.162966,8,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B07Q7WXVVR,0.146264,9,0
TF-IDF,$10 lol literally not gonna change baby pet lol,B07ZDMLC6N,0.140091,10,0
TF-IDF,$139 one cup cousy not coffee maker,B088TW4FSR,0.645951,1,0
TF-IDF,$139 one cup cousy not coffee maker,B088TTGJ6K,0.599976,2,0
TF-IDF,$139 one cup cousy not coffee maker,B00OMA5BX0,0.540862,3,0
TF-IDF,$139 one cup cousy not coffee maker,B0089ME5VQ,0.510129,4,0
TF-IDF,$139 one cup cousy not coffee maker,B00EI7DPPI,0.493444,5,0
TF-IDF,$139 one cup cousy not coffee maker,B081V8WR35,0.4854,6,0
TF-IDF,$139 one cup cousy not coffee maker,B01IX0ZS9G,0.479358,7,0
TF-IDF,$139 one cup cousy not coffee maker,B087GH6K6J,0.449183,8,0
TF-IDF,$139 one cup cousy not coffee maker,B07HB3GH6W,0.416516,9,0
TF-IDF,$139 one cup cousy not coffee maker,B017DOT5EW,0.410271,10,0
TF-IDF,$15 doller bb guns not spring powered,B07KX7QPJH,0.487926,1,0
TF-IDF,$15 doller bb guns not spring powered,B000HKKY7M,0.309862,2,0
TF-IDF,$15 doller bb guns not spring powered,B00EWK00FY,0.279862,3,0
TF-IDF,$15 doller bb guns not spring powered,B00BSR2QPG,0.276067,4,0
TF-IDF,$15 doller bb guns not spring powered,B07YLDPS1S,0.264583,5,0
TF-IDF,$15 doller bb guns not spring powered,B001BS3YQM,0.26397,6,0
TF-IDF,$15 doller bb guns not spring powered,B01LY0XY0A,0.259813,7,0
TF-IDF,$15 doller bb guns not spring powered,B07FKX9FQ8,0.254533,8,0
TF-IDF,$15 doller bb guns not spring powered,B07116D33X,0.252113,9,0
TF-IDF,$15 doller bb guns not spring powered,B01N9HQKK9,0.235516,10,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B003A24KW4,0.409932,1,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B077YDZ5WR,0.284862,2,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B002HI9QWG,0.221736,3,1
TF-IDF,$35 bay casting left handed pole that does not do backlash,B00YARD3P8,0.212929,4,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B084BSV4F7,0.197064,5,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,1626868514,0.193515,6,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B009H9HC24,0.188917,7,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B084ZLT161,0.186543,8,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B00SGSHA1U,0.169104,9,0
TF-IDF,$35 bay casting left handed pole that does not do backlash,B000M1HQFY,0.166737,10,0
TF-IDF,$50 skateboard without waxing music,B07MMNY91L,0.376549,1,0
TF-IDF,$50 skateboard without waxing music,B07HK2TZ7R,0.369883,2,0
TF-IDF,$50 skateboard without waxing music,B07S1SCXGX,0.310825,3,0
TF-IDF,$50 skateboard without waxing music,B07TT7FXL5,0.301768,4,0
TF-IDF,$50 skateboard without waxing music,B0000YHOOQ,0.280619,5,0
TF-IDF,$50 skateboard without waxing music,B002NVBR24,0.240803,6,0
TF-IDF,$50 skateboard without waxing music,B07BC83ZCT,0.240083,7,0
TF-IDF,$50 skateboard without waxing music,B08CRTRQ45,0.235624,8,0
TF-IDF,$50 skateboard without waxing music,B07WYCW1X8,0.227398,9,0
TF-IDF,$50 skateboard without waxing music,B07WP3VZNS,0.20705,10,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B074TWK3GP,0.322642,1,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B07V315Y5G,0.264114,2,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,1503035697,0.25071,3,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B071WNWHZ7,0.247431,4,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B07K1QQGRH,0.233113,5,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B07YL1PYWN,0.232156,6,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B07LHJDY15,0.222771,7,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,1734166010,0.177823,8,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B089NF5Y78,0.177156,9,0
TF-IDF,$60 ps4 that’s not gonna be on amazon,B089NRYXSW,0.176891,10,0
TF-IDF,'love not perfect inspirational family' canvas,B0076N3JZM,0.345202,1,0
TF-IDF,'love not perfect inspirational family' canvas,B07CZTLKGH,0.345202,2,0
TF-IDF,'love not perfect inspirational family' canvas,B012YXYHIG,0.341235,3,0
TF-IDF,'love not perfect inspirational family' canvas,B08CL2TV4Y,0.339399,4,0
TF-IDF,'love not perfect inspirational family' canvas,B087M21MM2,0.31363,5,0
TF-IDF,'love not perfect inspirational family' canvas,B08R1T5H7C,0.305754,6,0
TF-IDF,'love not perfect inspirational family' canvas,B0030B908E,0.263985,7,0
TF-IDF,'love not perfect inspirational family' canvas,B08YN4HH2B,0.258899,8,1
TF-IDF,'love not perfect inspirational family' canvas,B07H2YJBX7,0.258764,9,0
TF-IDF,'love not perfect inspirational family' canvas,B01IUCP4U0,0.254829,10,0
TF-IDF,* batteries not included,B07MF4GPS6,0.615352,1,0
TF-IDF,* batteries not included,B019OI2B46,0.511342,2,0
TF-IDF,* batteries not included,B01LZYZV8E,0.298182,3,0
TF-IDF,* batteries not included,B007MPF1E6,0.261054,4,0
TF-IDF,* batteries not included,B01D5G88ZE,0.255001,5,0
TF-IDF,* batteries not included,B07H3P6RT2,0.236652,6,0
TF-IDF,* batteries not included,B00KU1127Y,0.233603,7,0
TF-IDF,* batteries not included,B003E4M4WQ,0.22773,8,0
TF-IDF,* batteries not included,B00DNPT1A4,0.215698,9,0
TF-IDF,* batteries not included,B005CLPOQM,0.205922,10,0
TF-IDF,+dark +chocolate +peanuts not milk,B078GYXSLW,0.494363,1,0
TF-IDF,+dark +chocolate +peanuts not milk,B01C24VLNG,0.430654,2,0
TF-IDF,+dark +chocolate +peanuts not milk,B01HEMYHXW,0.420043,3,0
TF-IDF,+dark +chocolate +peanuts not milk,B003TNANSO,0.415443,4,0
TF-IDF,+dark +chocolate +peanuts not milk,B009LUI8VS,0.4001,5,0
TF-IDF,+dark +chocolate +peanuts not milk,B01FT1PIUQ,0.383448,6,0
TF-IDF,+dark +chocolate +peanuts not milk,B07YYQT5WG,0.381846,7,0
TF-IDF,+dark +chocolate +peanuts not milk,B07SFB5PC8,0.379579,8,0
TF-IDF,+dark +chocolate +peanuts not milk,B078GS5KKG,0.361488,9,0
TF-IDF,+dark +chocolate +peanuts not milk,B00OFTDKA4,0.356531,10,0
TF-IDF,...and the earth did not devour him,0736231811,1.0,1,3
TF-IDF,...and the earth did not devour him,B072J3VMR4,0.34641,2,0
TF-IDF,...and the earth did not devour him,B0091XOKA8,0.321058,3,0
TF-IDF,...and the earth did not devour him,B08DBYMPSK,0.310254,4,0
TF-IDF,...and the earth did not devour him,B07NNRBWFS,0.300563,5,0
TF-IDF,...and the earth did not devour him,B089FJTSGV,0.293886,6,0
TF-IDF,...and the earth did not devour him,B08QVS69PN,0.221275,7,0
TF-IDF,...and the earth did not devour him,149263221X,0.201165,8,0
TF-IDF,...and the earth did not devour him,B07DF2SY2M,0.19828,9,0
TF-IDF,...and the earth did not devour him,B00G3MU2FM,0.187894,10,0
TF-IDF,.3ml syringe without needle,B07BQFTHMQ,0.354665,1,0
TF-IDF,.3ml syringe without needle,B07PY77BHF,0.349576,2,0
TF-IDF,.3ml syringe without needle,B07S1S1HMG,0.345903,3,0
TF-IDF,.3ml syringe without needle,B07PLSFCW1,0.32081,4,0
TF-IDF,.3ml syringe without needle,B08PDRS1SL,0.312682,5,0
TF-IDF,.3ml syringe without needle,B089M8VJC6,0.306596,6,0
TF-IDF,.3ml syringe without needle,B07MVWQVKF,0.303513,7,0
TF-IDF,.3ml syringe without needle,B07PLTWW88,0.302775,8,0
TF-IDF,.3ml syringe without needle,B07BQGVVSC,0.302484,9,0
TF-IDF,.3ml syringe without needle,B078X31JVY,0.29732,10,0
TF-IDF,.5 inch suction cups without hooks,B08K3N2XCK,0.571996,1,0
TF-IDF,.5 inch suction cups without hooks,B07XDZ6L24,0.53274,2,0
TF-IDF,.5 inch suction cups without hooks,B07YN36YPW,0.43679,3,0
TF-IDF,.5 inch suction cups without hooks,B071WFNKTB,0.407293,4,2
TF-IDF,.5 inch suction cups without hooks,B07N877WD8,0.368444,5,0
TF-IDF,.5 inch suction cups without hooks,B0828TD53Z,0.329681,6,0
TF-IDF,.5 inch suction cups without hooks,B07BXSYQ6Q,0.314896,7,0
TF-IDF,.5 inch suction cups without hooks,B07HKFMG7D,0.301115,8,0
TF-IDF,.5 inch suction cups without hooks,B00A86MMY8,0.288954,9,0
TF-IDF,.5 inch suction cups without hooks,B00004XSF7,0.255878,10,0
TF-IDF,.5mm derma rollers not china,B0002G21GI,0.301282,1,0
TF-IDF,.5mm derma rollers not china,B007S69QAY,0.285692,2,0
TF-IDF,.5mm derma rollers not china,B08SMHQ635,0.279361,3,0
TF-IDF,.5mm derma rollers not china,B001W99Q8K,0.276687,4,0
TF-IDF,.5mm derma rollers not china,B00006IV30,0.268446,5,0
TF-IDF,.5mm derma rollers not china,B07XH63QVM,0.240016,6,0
TF-IDF,.5mm derma rollers not china,B07FC7JB3F,0.232299,7,0
TF-IDF,.5mm derma rollers not china,B087KKMR39,0.214378,8,0
TF-IDF,.5mm derma rollers not china,B07QN25CV7,0.198195,9,2
TF-IDF,.5mm derma rollers not china,B001BLRYMO,0.184677,10,0
TF-IDF,.68 paintballs not reusable,B00J4GBX7U,0.433093,1,2
TF-IDF,.68 paintballs not reusable,B07Q19Z325,0.257484,2,0
TF-IDF,.68 paintballs not reusable,B07MNHDR7L,0.228524,3,0
TF-IDF,.68 paintballs not reusable,B07RPV4XMM,0.203313,4,0
TF-IDF,.68 paintballs not reusable,B07WCV3795,0.201283,5,0
TF-IDF,.68 paintballs not reusable,B07VDHPZGH,0.198393,6,0
TF-IDF,.68 paintballs not reusable,B08998H2J6,0.189656,7,0
TF-IDF,.68 paintballs not reusable,B00ISOMBZM,0.187319,8,0
TF-IDF,.68 paintballs not reusable,B076DKL4Q9,0.17151,9,0
TF-IDF,.68 paintballs not reusable,B00O3C2P1I,0.166691,10,0
TF-IDF,0 outdoor stand alone umbrella without base,B08NT4MC75,0.417982,1,0
TF-IDF,0 outdoor stand alone umbrella without base,B0031QNMKK,0.369668,2,0
TF-IDF,0 outdoor stand alone umbrella without base,B08T6MW859,0.359822,3,2
TF-IDF,0 outdoor stand alone umbrella without base,B00IO7L7WG,0.352534,4,0
TF-IDF,0 outdoor stand alone umbrella without base,B0854JD5G9,0.336521,5,0
TF-IDF,0 outdoor stand alone umbrella without base,B07QCM2QZ3,0.336376,6,0
TF-IDF,0 outdoor stand alone umbrella without base,B0855CV3SS,0.317966,7,1
TF-IDF,0 outdoor stand alone umbrella without base,B07VRCZ1MC,0.314621,8,0
TF-IDF,0 outdoor stand alone umbrella without base,B07VHPMJ23,0.313341,9,0
TF-IDF,0 outdoor stand alone umbrella without base,B07NS1BJ2B,0.309694,10,0
TF-IDF,0-cedar mop without bucket,B00807U22G,0.638191,1,1
TF-IDF,0-cedar mop without bucket,B00WSWGVZQ,0.519176,2,0
TF-IDF,0-cedar mop without bucket,B0744NLRJ4,0.503692,3,0
TF-IDF,0-cedar mop without bucket,B072VBNT17,0.497861,4,0
TF-IDF,0-cedar mop without bucket,B0143GZ1LE,0.496176,5,0
TF-IDF,0-cedar mop without bucket,B00COXAHMM,0.475949,6,0
TF-IDF,0-cedar mop without bucket,B008HVHJM6,0.447652,7,1
TF-IDF,0-cedar mop without bucket,B07PCQ3RCS,0.440794,8,0
TF-IDF,0-cedar mop without bucket,B07RP76LP7,0.436136,9,0
TF-IDF,0-cedar mop without bucket,B01IWXLIQ6,0.427987,10,0
TF-IDF,0.5 cc syringes without needle,B07BQGVVSC,0.341645,1,0
TF-IDF,0.5 cc syringes without needle,B08PDRS1SL,0.336017,2,0
TF-IDF,0.5 cc syringes without needle,B01JJYDFHM,0.332995,3,0
TF-IDF,0.5 cc syringes without needle,B07DM715D9,0.329431,4,0
TF-IDF,0.5 cc syringes without needle,B07FVRD945,0.32449,5,0
TF-IDF,0.5 cc syringes without needle,B00P2NAD8E,0.303194,6,0
TF-IDF,0.5 cc syringes without needle,B07QF3GNS2,0.293558,7,0
TF-IDF,0.5 cc syringes without needle,B07BQFTHMQ,0.285138,8,0
TF-IDF,0.5 cc syringes without needle,B07T8F2RKB,0.281233,9,0
TF-IDF,0.5 cc syringes without needle,B00VJYIEDQ,0.264621,10,0
TF-IDF,0.8mm tin lead solder without rosin core,B082KC11F4,0.551475,1,1
TF-IDF,0.8mm tin lead solder without rosin core,B071JTMT82,0.545583,2,0
TF-IDF,0.8mm tin lead solder without rosin core,B071G1J3W6,0.446019,3,0
TF-IDF,0.8mm tin lead solder without rosin core,B00UM69TW2,0.234029,4,0
TF-IDF,0.8mm tin lead solder without rosin core,B07P6YGKF7,0.226117,5,0
TF-IDF,0.8mm tin lead solder without rosin core,B072KNY849,0.202289,6,0
TF-IDF,0.8mm tin lead solder without rosin core,B0848HFX5P,0.190899,7,0
TF-IDF,0.8mm tin lead solder without rosin core,B076Q17LZ1,0.183707,8,0
TF-IDF,0.8mm tin lead solder without rosin core,B07S62KYSL,0.183245,9,0
TF-IDF,0.8mm tin lead solder without rosin core,B083W6C8HQ,0.169778,10,0
TF-IDF,00 days without a dad joke shirt,B08NYWSDJL,0.603799,1,0
TF-IDF,00 days without a dad joke shirt,B0979KQPVG,0.598224,2,2
TF-IDF,00 days without a dad joke shirt,B07MCD7H64,0.431668,3,0
TF-IDF,00 days without a dad joke shirt,B07PMCWV8F,0.40261,4,0
TF-IDF,00 days without a dad joke shirt,B07YLSHVYH,0.392442,5,0
TF-IDF,00 days without a dad joke shirt,B093WBRBBP,0.374113,6,0
TF-IDF,00 days without a dad joke shirt,B07DQRVHXD,0.306869,7,0
TF-IDF,00 days without a dad joke shirt,B0018N4090,0.293507,8,0
TF-IDF,00 days without a dad joke shirt,B07C8264LR,0.288122,9,0
TF-IDF,00 days without a dad joke shirt,B07PH7YVR6,0.282411,10,0
TF-IDF,00 days without dad jokes,1099879965,0.452337,1,0
TF-IDF,00 days without dad jokes,B07MCD7H64,0.447866,2,0
TF-IDF,00 days without dad jokes,B08NYWSDJL,0.437022,3,0
TF-IDF,00 days without dad jokes,B0979KQPVG,0.400869,4,0
TF-IDF,00 days without dad jokes,B07PMCWV8F,0.362344,5,0
TF-IDF,00 days without dad jokes,B07DQRVHXD,0.318384,6,0
TF-IDF,00 days without dad jokes,B07D4L91H7,0.306873,7,0
TF-IDF,00 days without dad jokes,B0018N4090,0.304521,8,0
TF-IDF,00 days without dad jokes,B07C8264LR,0.298934,9,0
TF-IDF,00 days without dad jokes,B07GWSZ9GQ,0.286747,10,0
TF-IDF,04 ford ranger third brake light without cargo,B07RZ49GXM,0.376411,1,0
